TreeName \ SampleNo,1,2,3
tree_k_3_md_3_mb_7_alpha_[0.1 0.5 0.5],0.0155753676376,0.088023946612,0.132566342716
tree_k_2_md_5_mb_5_alpha_[0.5 0.5],9.54808310286e-09,1.70196002223e-08,1.98877723494e-08
tree_k_3_md_10_mb_2_alpha_[0.1 0.1 0.5],0.626315421676,0.0395215515401,0.626315421676
tree_k_3_md_3_mb_5_alpha_[0.1 0.1 0.5],0.980132424063,0.980132424063,0.980132424063
tree_k_2_md_10_mb_2_alpha_[0.1 0.5],0.887713912728,0.887713912728,0.887713912728
tree_k_5_md_3_mb_5_alpha_[1.  0.1 0.1 0.1 0.1],0.969178646303,0.969178646303,0.969178646303
tree_k_2_md_5_mb_7_alpha_[0.1 0.1],1.68177519885e-07,1.08421338523e-07,1.99629915369e-06
tree_k_5_md_10_mb_3_alpha_[0.1 0.1 1.  0.1 0.1],0.470978623571,0.470978623571,0.512871879451
tree_k_2_md_3_mb_5_alpha_[0.1 0.1],0.00313404991624,0.412272060248,0.412272060248
tree_k_3_md_5_mb_5_alpha_[0.1 0.5 0.1],0.0970490659887,0.0154784896316,0.551756975511
tree_k_5_md_5_mb_3_alpha_[0.1 0.1 0.1 0.1 0.1],0.0132414232261,0.000204224941913,0.00163860422448
tree_k_2_md_3_mb_3_alpha_[0.1 0.1],0.381008332013,0.381008332013,0.615008301187
tree_k_2_md_10_mb_4_alpha_[0.1 0.1],8.3402908101e-29,3.16982163034e-30,1.99587753423e-26
tree_k_2_md_5_mb_3_alpha_[0.1 0.1],0.00118320383767,0.0127382652232,0.0233906447948
tree_k_3_md_5_mb_3_alpha_[1.  1.  0.1],0.00942654885149,0.00116047367951,0.0034806316623
tree_k_5_md_5_mb_7_alpha_[0.1 0.1 0.1 0.5 0.1],3.55174184376e-33,3.51890290718e-29,1.11323090791e-35
tree_k_2_md_3_mb_7_alpha_[0.1 0.5],0.00138132794419,0.0244512198493,0.00229379539903
tree_k_3_md_5_mb_7_alpha_[0.5 0.1 0.1],4.08500834532e-43,8.96183860932e-46,5.44033353243e-50
tree_k_3_md_10_mb_4_alpha_[0.1 0.1 0.1],1.06182512223e-127,1.04982863414e-114,3.92169187603e-124
tree_k_5_md_3_mb_3_alpha_[0.1 0.5 0.1 0.1 0.1],0.227582214428,0.227582214428,0.174149077642
tree_k_3_md_3_mb_3_alpha_[0.1 1.  1. ],0.27719738724,0.27719738724,0.111538941549
tree_k_5_md_10_mb_2_alpha_[1.  0.5 0.1 0.5 0.5],0.0405915901623,0.0372884579238,0.153115682736
tree_k_2_md_10_mb_3_alpha_[1.  0.1],0.150394889842,0.0177822750097,0.163041712878
tree_k_3_md_10_mb_3_alpha_[0.5 0.1 0.5],0.0637245109469,0.538856832905,0.309363515032
tree_k_5_md_3_mb_7_alpha_[0.1 0.1 0.5 1.  0.1],7.29290846901e-05,8.22304199798e-05,4.5918149222e-07
tree_k_5_md_10_mb_4_alpha_[0.1 0.1 0.1 0.1 0.1],2.44568054619e-299,6.06300242703e-289,8.74557857658e-304
tree_k_5_md_5_mb_5_alpha_[0.5 0.5 0.1 1.  1. ],4.4826857152e-38,2.0737157063e-33,1.95182672736e-32
